title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Eterna agonía,movie,"""Drama""",1949,tt0179800,6.6,15,"""AR, BO, BZ, CL, CO, CR, DO, EC, GT, HN, NI, PA, PE, PY, SV, UY, VE"""
Ethiroli,movie,"""Drama, Thriller""",1970,tt0154463,7.5,38,"""BZ, CM, GY, MW, PG"""
Euphoria,movie,"""Drama""",2013,tt2191328,6.4,29,"""BM, CA, CM, GH, GI, GY, IE, KE, LC, MW, NG, PG, TC, UG"""
Eva,movie,"""Drama, Romance""",2018,tt6414890,4.7,1284,"""AT, DE, ES, IT, SM, VA"""
Eva: A-7063,movie,"""Documentary""",2018,tt8361136,8.5,72,"""AR, AU, BO, CL, CO, CR, DO, EC, GT, HN, IS, NI, PA, PE, PY, SV, UY, VE"""
Evangelion: 2.0 You Can (Not) Advance,movie,"""Action, Animation, Drama""",2009,tt0860906,7.9,25853,"""AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BF, BH, BM, BO, BR, BS, BZ, CA, CD, CH, CI, CL, CM, CO, CR, DE, DK, DO, DZ, EC, EG, ES, FI, FR, GB, GF, GG, GH, GI, GT, GY, HK, HN, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, MG, MK, ML, MW, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PS, PT, PY, QA, RS, SA, SE, SG, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, US, UY, VA, VE, YE, ZA, ZM, ZW"""
Evaru,movie,"""Crime, Drama, Mystery""",2019,tt10545484,8.1,7704,"""AE, AG, AO, AR, AU, BB, BF, BH, BM, BO, BR, BS, BZ, CA, CD, CI, CL, CM, CO, CR, CU, DO, DZ, EC, EG, GB, GF, GG, GH, GI, GT, GY, HK, HN, ID, IL, IN, IQ, JM, JO, KE, KR, KW, LB, LC, LY, MA, MG, ML, MW, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PF, PG, PH, PK, PS, PY, QA, SA, SG, SN, SV, TC, TD, TH, TN, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"""
"Events Transpiring Before, During, and After a High School Basketball Game",movie,"""Comedy""",2020,tt9573468,6,109,"""US"""
Every Breath You Take,movie,"""Drama, Mystery, Thriller""",2021,tt2231874,5.4,7321,"""AD, ES, FR, GF, MC, PF"""
Everybody Loves Chris Rock,movie,"""Biography, Comedy, Documentary""",2021,tt13658766,4.1,65,"""AU, GB, GG, IE, NZ, US"""
Everybody's Game,movie,"""Documentary""",2020,tt13561182,7.2,92,"""AD, AG, AL, AO, AR, AU, BA, BB, BE, BF, BG, BH, BM, BO, BS, BZ, CA, CD, CH, CI, CL, CM, CO, CR, CU, CY, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GG, GH, GI, GT, GY, HK, HN, HR, ID, IE, IL, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LV, LY, MA, MC, MD, MG, MK, ML, MT, MW, MY, MZ, NE, NG, NI, NO, NZ, OM, PA, PE, PF, PG, PH, PK, PS, PY, QA, RS, SA, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"""
"Everything, Everything",movie,"""Drama, Romance""",2017,tt5001718,6.3,43175,"""AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GF, GT, GY, HN, IT, JM, LC, MT, MX, NI, PA, PE, PY, SM, SV, TC, TT, UY, VA, VE"""
Everything's Better than a Hooker,movie,"""Documentary""",2018,tt7982804,7.2,62,"""GB, GG"""
Evil Bong 420,movie,"""Comedy, Horror""",2015,tt4817640,3.6,529,"""CA, GB, GG, IE, US"""
